wavelength (AA) lower bin boundary,  wavelength (AA) upper bin boundary,  Efficiency, rel. err.
6.78246842E+00, 6.80369757E+00, 2.90489869E-02, 7.77440299E-03
6.80369757E+00, 6.82493301E+00, 2.91480086E-02, 7.77417194E-03
6.82493301E+00, 6.84617240E+00, 2.92062662E-02, 7.77358078E-03
6.84617240E+00, 6.86741335E+00, 2.92874437E-02, 7.77347188E-03
6.86741335E+00, 6.88863346E+00, 2.93192406E-02, 7.77452226E-03
6.88863346E+00, 6.90987001E+00, 2.94243642E-02, 7.77381822E-03
6.90987001E+00, 6.93112100E+00, 2.95141481E-02, 7.77292385E-03
6.93112100E+00, 6.95234334E+00, 2.96232747E-02, 7.76768205E-03
6.95234334E+00, 6.97357526E+00, 2.96759943E-02, 7.77241209E-03
6.97357526E+00, 6.99481462E+00, 2.97419411E-02, 7.77420497E-03
6.99481462E+00, 7.01605925E+00, 2.98447982E-02, 7.76905873E-03
7.01605925E+00, 7.03728561E+00, 2.98983795E-02, 7.77300889E-03
7.03728561E+00, 7.05851234E+00, 3.00024488E-02, 7.77771074E-03
7.05851234E+00, 7.07975879E+00, 3.00697292E-02, 7.77238808E-03
7.07975879E+00, 7.10097940E+00, 3.01357149E-02, 7.77365870E-03
7.10097940E+00, 7.12221531E+00, 3.02204255E-02, 7.77274095E-03
7.12221531E+00, 7.14346464E+00, 3.02839144E-02, 7.77381380E-03
7.14346464E+00, 7.16468051E+00, 3.03685318E-02, 7.77374650E-03
7.16468051E+00, 7.18592777E+00, 3.04771601E-02, 7.76828872E-03
7.18592777E+00, 7.20715925E+00, 3.05800856E-02, 7.77379264E-03
7.20715925E+00, 7.22839535E+00, 3.06427233E-02, 7.77192811E-03
7.22839535E+00, 7.24963397E+00, 3.07020827E-02, 7.77292920E-03
7.24963397E+00, 7.27087295E+00, 3.07344581E-02, 7.77144575E-03
7.27087295E+00, 7.29211009E+00, 3.08462447E-02, 7.77227213E-03
7.29211009E+00, 7.31334314E+00, 3.09260528E-02, 7.77270561E-03
7.31334314E+00, 7.33456982E+00, 3.10224313E-02, 7.77153134E-03
7.33456982E+00, 7.35581211E+00, 3.10615769E-02, 7.77406534E-03
7.35581211E+00, 7.37704373E+00, 3.11784615E-02, 7.77372051E-03
7.37704373E+00, 7.39826225E+00, 3.12274771E-02, 7.77043516E-03
7.39826225E+00, 7.41951513E+00, 3.13608313E-02, 7.76950133E-03
7.41951513E+00, 7.44075079E+00, 3.14024144E-02, 7.77201206E-03
