wl[Å],meas. Brilliance (no average),error (no smooth),rel. error (no smooth),meas. Brilliance (0.1Å average),error (5ch=0.1AA smooth),rel. error (5ch=0.1AA smooth)
3.8938570072,8.04E+010,2.69E+010,0.334168249,118824041576.6,18998345717.3134,0.1598863788
3.915324922,1.38E+011,2.65E+010,0.1921196835,112616877832.297,18928619038.752,0.168079771
3.9367928368,1.07E+011,2.62E+010,0.2455204066,118556034641.759,18929280124.6954,0.1596652602
3.9582607516,1.03E+011,2.62E+010,0.2530859733,135842613112.575,18994694239.0769,0.1398286871
3.9797286664,1.64E+011,2.50E+010,0.1525845194,138790728585.229,18978820148.027,0.1367441496
4.0011965812,1.67E+011,2.62E+010,0.1568963205,134587771979.321,18922283651.2554,0.1405943748
4.022664496,1.53E+011,2.55E+010,0.1668476657,136531422519.026,18901321946.3658,0.1384393541
4.0441324108,8.58E+010,2.54E+010,0.2957204771,125708165269.595,18808423446.9079,0.1496197435
4.0656003256,1.13E+011,2.66E+010,0.2348666045,124596462840.604,18771608735.2516,0.1506592427
4.0870682404,1.10E+011,2.66E+010,0.2421974618,116566717535.375,18695467535.8575,0.1603842669
4.1085361552,1.61E+011,2.63E+010,0.1629296656,121685540203.228,18694606947.5361,0.1536304718
4.13000407,1.13E+011,2.49E+010,0.2206440102,122139797170.582,18667637164.4527,0.1528382853
4.1514719848,1.11E+011,2.54E+010,0.2279005748,121552959438.053,18635102752.508,0.1533085072
4.1729398996,1.15E+011,2.53E+010,0.2190280416,111268207673.549,18547826093.9523,0.1666947503
4.1944078144,1.07E+011,2.63E+010,0.246053722,112562745801.383,18527050099.9843,0.1645930896
4.2158757292,1.10E+011,2.53E+010,0.2300146974,107184170355.529,18468333569.83,0.1723046744
4.237343644,1.19E+011,2.52E+010,0.2116644304,108058177314.873,18446019767.1273,0.1707045244
4.2588115588,8.45E+010,2.53E+010,0.2988476469,102288941749.282,18385823450.0612,0.1797439991
4.2802794736,1.20E+011,2.51E+010,0.2090629174,105457134200.033,18377491966.2564,0.1742650424
4.3017473884,7.81E+010,2.51E+010,0.3212947771,102386838210.281,18333709119.4218,0.1790631437
4.3232153032,1.26E+011,2.52E+010,0.200744766,97920129367.8893,18281997472.9618,0.1867031589
4.344683218,1.04E+011,2.45E+010,0.2358975738,102101761356.379,18280758635.8656,0.1790444983
4.3661511328,6.22E+010,2.52E+010,0.4049313814,107988731957.23,18289283448.4764,0.1693628874
4.3876190476,1.41E+011,2.43E+010,0.1725080094,99774828341.445,18217447003.6199,0.1825856011
4.4090869624,1.07E+011,2.52E+010,0.2348693481,97578366554.7895,18180432384.2762,0.1863162197
4.4305548772,8.47E+010,2.48E+010,0.292479534,99556302204.923,18167502808.892,0.1824847087
4.452022792,9.28E+010,2.38E+010,0.2569581191,91565610911.1139,18098068670.4579,0.1976513725
4.4734907068,7.21E+010,2.55E+010,0.3531842203,84655180011.7443,18034925090.7871,0.2130398292
4.4949586216,1.01E+011,2.47E+010,0.2455627381,87421013583.8055,18027873593.6695,0.2062189953
4.5164265364,7.29E+010,2.42E+010,0.3322915871,87307361620.4523,18004554937.852,0.2062203531
4.5378944512,9.85E+010,2.44E+010,0.2475669471,92334610700.7663,18011066983.1745,0.1950630088
4.559362366,9.22E+010,2.39E+010,0.2592856373,85471206409.9088,17949471926.673,0.2100060673
4.5808302808,9.72E+010,2.45E+010,0.2519199449,85793507033.9031,17929504220.4909,0.2089843957
4.6022981956,6.65E+010,2.39E+010,0.3592113717,84863540848.0567,17902785710.3164,0.2109596834
4.6237661104,7.46E+010,2.44E+010,0.3271640126,85572305932.8302,17885797042.7486,0.2090138491
4.6452340252,9.38E+010,2.42E+010,0.2582430804,80376760683.3872,17835030703.1513,0.2218928774
4.66670194,9.58E+010,2.43E+010,0.2538624574,81928047510.5543,17823375216.6304,0.217549127
4.6881698548,7.13E+010,2.36E+010,0.3316381937,79816041341.6632,17790881872.7258,0.2228985749
4.7096377696,7.42E+010,2.38E+010,0.3203699971,78294558928.2639,17762220717.0779,0.2268640498
4.7311056844,6.40E+010,2.42E+010,0.3775937012,72317745033.5712,17708064681.3415,0.244864724
4.7525735992,8.62E+010,2.42E+010,0.2804098606,77300682585.2411,17717515913.8437,0.2292025804
4.774041514,6.59E+010,2.36E+010,0.3587087298,81063539133.3154,17720131318.7454,0.2185955796
4.7955094288,9.62E+010,2.37E+010,0.2461666699,80997451989.1457,17700802450.6339,0.2185352998
4.8169773436,9.30E+010,2.34E+010,0.2518232172,76875002012.6915,17658431443.1355,0.2297031672
4.8384452584,6.37E+010,2.39E+010,0.3751291093,82048531735.8181,17669944158.185,0.2153596632
4.8599131732,6.56E+010,2.34E+010,0.3569652066,80342400983.6754,17642118853.9366,0.2195866521
4.881381088,9.18E+010,2.40E+010,0.2620780868,78642132511.2583,17614570474.7787,0.2239838864
4.9028490028,8.76E+010,2.40E+010,0.2733766007,77575833199.612,17590779280.9976,0.2267559181
4.9243169177,8.45E+010,2.33E+010,0.2757164981,75907118481.1849,17563770849.1811,0.2313850295
4.9457848325,5.83E+010,2.33E+010,0.3999213022,68800390865.6865,17505672755.7681,0.2544414724
4.9672527473,5.73E+010,2.39E+010,0.4166811006,69520608293.7582,17493140347.0002,0.2516252486
4.9887206621,5.62E+010,2.38E+010,0.4225781924,65839158457.9827,17455315103.5204,0.2651205683
5.0101885769,9.12E+010,2.37E+010,0.2594341536,65386326660.1575,17436317912.2609,0.2666661182
5.0316564917,6.61E+010,2.31E+010,0.349110067,68932907630.2913,17440730954.7137,0.253010232
5.0531244065,5.61E+010,2.30E+010,0.4109787034,74075606723.1007,17454553320.4578,0.2356315944
5.0745923213,7.50E+010,2.30E+010,0.3066361199,66813276926.7829,17396954203.6637,0.2603816936
5.0960602361,8.19E+010,2.37E+010,0.2896463324,72139433105.4957,17412363398.6819,0.2413709486
5.1175281509,5.49E+010,2.32E+010,0.4219415842,67510448379.5486,17370283792.7051,0.2572977103
5.1389960657,9.28E+010,2.29E+010,0.247288292,70234415061.6383,17371102997.9065,0.2473303577
5.1604639805,3.29E+010,2.33E+010,0.7085672988,66786077290.2642,17336417363.8045,0.259581309
5.1819318953,8.86E+010,2.35E+010,0.2646810953,67337654086.1595,17324992669.6159,0.2572853614
5.2033998101,6.47E+010,2.29E+010,0.3533357498,58725061188.1533,17260805122.4739,0.2939257069
5.2248677249,5.77E+010,2.37E+010,0.4100006628,63460957320.0554,17274020511.6627,0.2721991795
5.2463356397,4.97E+010,2.23E+010,0.4494518119,57642299916.654,17226418420.9569,0.2988502965
5.2678035545,5.66E+010,2.35E+010,0.4156655701,58979371725.713,17220468722.0999,0.2919744348
5.2892714693,5.95E+010,2.30E+010,0.3863140177,58935637642.1174,17206659503.7704,0.2919567887
5.3107393841,7.14E+010,2.28E+010,0.3198515935,58305004472.4872,17189602721.5989,0.2948220805
5.3322072989,5.75E+010,2.26E+010,0.3939465058,62019192034.8264,17197983283.2729,0.2773009889
5.3536752137,4.65E+010,2.28E+010,0.4892769997,54271789038.9217,17140016642.7494,0.3158181616
5.3751431285,7.52E+010,2.28E+010,0.3035655997,57181620500.0558,17144208632.1532,0.2998202654
5.3966110433,2.08E+010,2.31E+010,1.1087914098,55957356739.6394,17124496303.8442,0.3060276128
5.4180789581,8.59E+010,2.27E+010,0.2646864155,55727744285.8448,17110703739.0602,0.3070410252
5.4395468729,5.13E+010,2.25E+010,0.437994934,46613978528.7428,17045517010.4583,0.3656739362
5.4610147877,4.54E+010,2.31E+010,0.5087316535,50931017889.038,17058489158.5123,0.334933207
5.4824827025,2.96E+010,2.19E+010,0.739208739,35921099814.8004,16959191304.7923,0.4721233869
5.5039506173,4.24E+010,2.33E+010,0.5495908999,40212772490.8847,16972616106.0283,0.422070279
5.5254185321,1.09E+010,2.25E+010,2.0718343425,38021830770.0248,16948298293.7189,0.4457517681
5.5468864469,7.28E+010,2.24E+010,0.3075227372,40948372241.8334,16953983068.7444,0.4140331383
5.5683543617,3.44E+010,2.20E+010,0.6394642348,34837878343.8555,16907082454.9318,0.4853074659
5.5898222765,4.42E+010,2.23E+010,0.5039476744,46598835047.5147,16964591831.7086,0.364056136
5.6112901913,1.18E+010,2.16E+010,1.8235700002,43613906683.8175,16936409592.6421,0.3883259006
5.6327581061,6.97E+010,2.29E+010,0.3290407143,51820674377.0179,16973429126.9435,0.3275416488
5.6542260209,5.79E+010,2.21E+010,0.3814301664,50032207125.6841,16952436693.9193,0.3388304788
5.6756939357,7.55E+010,2.23E+010,0.2952000982,55504007991.9281,16973689739.9909,0.3058101632
5.6971618505,3.53E+010,2.15E+010,0.6103043438,55268006017.3444,16962109427.5986,0.3069064844
5.7186297653,3.92E+010,2.28E+010,0.5819961782,50348620372.6618,16923431406.3008,0.3361250275
5.7400976801,6.85E+010,2.25E+010,0.3290470348,47961940575.2449,16899676389.3146,0.3523559761
5.7615655949,3.33E+010,2.29E+010,0.6882712916,43061368096.6626,16861289979.9291,0.3915641961
5.7830335097,6.35E+010,2.20E+010,0.3465240249,40698295033.0158,16837840824.4327,0.4137234941
5.8045014245,1.08E+010,2.21E+010,2.0469515075,36175591920.454,16802014611.1678,0.4644572133
5.8259693393,2.74E+010,2.27E+010,0.8300172522,37912279236.1506,16802777808.1317,0.4432014679
5.8474372541,4.59E+010,2.19E+010,0.4780824589,33397848841.1127,16767252493.3552,0.5020458824
5.8689051689,4.20E+010,2.26E+010,0.5383110644,34755419585.4188,16766030563.3711,0.4824004648
5.8903730837,4.10E+010,2.14E+010,0.5225385298,38634266294.1825,16779707674.4483,0.4343218931
5.9118409985,1.76E+010,2.18E+010,1.2383681986,37249471658.824,16762829427.1608,0.4500152265
5.9333089133,4.68E+010,2.22E+010,0.4740750922,37228761140.918,16754039773.6398,0.4500294735
5.9547768281,3.90E+010,2.21E+010,0.5665349466,35848333880.7526,16737440302.3562,0.4668959053
5.9762447429,4.19E+010,2.20E+010,0.526531274,39336745625.8043,16749330899.7888,0.4257935077
5.9977126577,3.41E+010,2.15E+010,0.6313287878,37372895839.5921,16729602876.3896,0.4476399942
6.0191805725,3.50E+010,2.21E+010,0.6323891308,36772523557.7382,16717940982.3209,0.4546313216
6.0406484873,3.69E+010,2.20E+010,0.5944924109,34813319353.7436,16698478631.7119,0.4796577558
6.0621164021,3.60E+010,2.20E+010,0.6123111659,36931106625.1787,16702931841.3442,0.4522727145
6.0835843169,3.21E+010,2.18E+010,0.681011267,32457310886.2929,16669007708.1972,0.513567121
6.1050522317,4.47E+010,2.18E+010,0.4892571103,31666156077.4283,16656728979.9179,0.5260104491
6.1265201465,1.27E+010,2.19E+010,1.7292185551,36492565816.8886,16677389865.1734,0.4570078725
6.1479880613,3.30E+010,2.19E+010,0.6622676634,42867640770.5629,16707119242.777,0.3897373157
6.1694559761,6.01E+010,2.18E+010,0.3620040611,41687936881.5981,16692941970.894,0.4004261957
6.1909238909,6.39E+010,2.20E+010,0.3444411386,44004031389.3416,16699165292.4733,0.3794917139
6.2123918057,3.88E+010,2.13E+010,0.5495330029,42637166358.7626,16684101826.1208,0.3913041895
6.2338597205,2.42E+010,2.17E+010,0.8973852258,36234727030.957,16639852820.2424,0.4592239044
6.2553276353,2.62E+010,2.23E+010,0.8538040208,29833579748.6624,16595665178.6986,0.5562746851
6.2767955501,2.81E+010,2.24E+010,0.7979983559,24024325457.9939,16554932591.8627,0.689090423
6.2982634649,3.19E+010,2.18E+010,0.6841929617,25366678546.1294,16556166929.5726,0.6526738177
6.3197313797,9.71E+009,2.15E+010,2.2156407887,27673001458.1555,16563149047.5808,0.5985309932
